Designator,Mid X,Mid Y,Rotation,Layer
BZ1,182.7,-50.0,0.0,top
R1,156.95,-51.5,0.0,top
R2,169.2,-52.0,0.0,top
SW1,181.75,-86.0,0.0,top
SW2,181.58,-66.2,0.0,top
SW3,162.42,-66.22,0.0,top
SW4,162.46,-85.24,0.0,top
U1,168.93,-123.31,0.0,top
U2,125.58,-90.745,0.0,top
